,,,,,,,,,,,,,,
,Gluten,Crustaceas,Egg,Fish,Peanuts,Soybeans,Nuts,Milk,Sulphites,Celery,Mustard,Sesame,Clams,Lupin
ROASTED TURKEY SANDWICH,Contains,,Contains,,,Contains,,Contains,Contains,,Contains,,,
CHICKEN-ALMOND SALAD SANDWICH,Contains,,Contains,Contains,,Contains,Contains,Contains,Contains,Contains,Contains,,,
GREEN SALAD,Contains,,Contains,Contains,,Contains,May Contain,Contains,Contains,Contains,Contains,,,
CASESAR SALAD,Contains,,Contains,Contains,,Contains,May Contain,Contains,Contains,,Contains,,,
WILD MUSHROOM,Contains,,,,,Contains,,Contains,Contains,Contains,,,,
BUTTERNUT SQUASH,Contains,,May Contain,,May Contain,Contains,May Contain,Contains,,,,,,
CREAM OF BROCCOLI,Contains,,Contains,,,Contains,May Contain,Contains,Contains,Contains,Contains,,,
BAKED POTATO SOUP,,,,Contains,,Contains,,Contains,,Contains,,,,May Contain
MEXICAN CHICKEN & VEGETABLE,Contains,,Contains,,,Contains,,Contains,Contains,Contains,Contains,,,
RUSTIC LENTIL,,,,,,Contains,,,,Contains,,,,
CHICKEN TORTILLA,Contains,,,,,Contains,,Contains,,Contains,,,,
CHICKEN SALAD SANDWICH,Contains,,Contains,Contains,,Contains,Contains,Contains,Contains,Contains,Contains,,,
THE CLUB,Contains,,Contains,,,Contains,,,,,Contains,,,
GRILLED CHICKEN AND AVOCADO CLUB,Contains,,Contains,,,Contains,,Contains,Contains,,Contains,,,
CUBAN SANDWICH,Contains,,Contains,,,Contains,,Contains,,,Contains,,,
CHICKEN PARMESAN SANDWICH,Contains,,Contains,,,Contains,,Contains,,,,,,
CALIFORNIA CHEESESTEAK,Contains,,May Contain,,,Contains,May Contain,Contains,,,,,,
FRIED CHICKEN SANDWICH,Contains,,Contains,,,Contains,,Contains,Contains,Contains,Contains,Contains,,
EGGS & OMELETTES,,,,,,,,,,,,,,
EGGS ANY STYLE,Contains,,Contains,,,Contains,May Contain,Contains,Contains,Contains,,May Contain,,
EGGS ANY STYLE w/ BEEF BACON,Contains,,Contains,,,Contains,May Contain,Contains,Contains,Contains,,May Contain,,
EGGS ANY STYLE w/ TURKEY HAM,Contains,,Contains,,,Contains,May Contain,Contains,Contains,Contains,,May Contain,,
FACTORY HUEVOS RANCHEROS,Contains,,Contains,,,Contains,,Contains,Contains,Contains,,,,
BRIOCHE BREAKFAST SANDWICH,Contains,,Contains,,,Contains,,Contains,,Contains,Contains,,,
FACTORY CREATE AN OMELETTE,Contains,,Contains,,,Contains,May Contain,Contains,Contains,Contains,,May Contain,,
BEEF BACON,,,,,,,May Contain,,,,,,,
TURKEY HAM,,,,,,,May Contain,,,,,,,
CHEDDAR CHEESE,,,,,,,May Contain,Contains,,,,,,
JACK CHEESE,,,,,,,May Contain,Contains,,,,,,
SWISS CHEESE,,,,,,,May Contain,Contains,,,,,,
FONTINA CHEESE,,,,,,,May Contain,Contains,,,,,,
AVOCADO,,,,,,,May Contain,,,,,,,
ROASTED PEPPERS,,,,,,,May Contain,,,,,,,
FRESH MUSHROOMS,,,,,,,May Contain,,,,,,,
ASPARAGUS,,,,,,,May Contain,,,,,,,
SPINACH,,,,,,,May Contain,,,,,,,
BELL PEPPERS,,,,,,,May Contain,,,,,,,
FRESH TOMATO,,,,,,,May Contain,,,,,,,
RED ONION,,,,,,,May Contain,,,,,,,
GREEN ONION,,,,,,,May Contain,,,,,,,
CALIFORNIA OMELETTE,Contains,,Contains,,,Contains,May Contain,Contains,Contains,Contains,,May Contain,,
"SPINACH, MUSHROOM, CHEESE AND BACON OMELETTE",Contains,,Contains,,,Contains,May Contain,Contains,Contains,Contains,,May Contain,,
BREAKFAST BURRITO,Contains,,Contains,,,Contains,May Contain,Contains,Contains,Contains,Contains,Contains,,
BREAKFAST TACOS,Contains,,Contains,,,Contains,,Contains,Contains,Contains,Contains,Contains,,
SATURDAY & SUNDAY BREAKFAST,,,,,,,,,,,,,,
GIANT BELGIAN WAFFLE,Contains,,Contains,,,,,Contains,,,,,,
